ID,Fecha,Latitud,Longitud,Departamento,Provincia,Distrito
SLIP-1,24/11/2018,-13.141219,-70.387746,PUNO,CARABAYA,AYAPATA
SLIP-2,20/12/2018,-13.00579,-72.552091,CUSCO,LA CONVENCION,HUAYOPATA
SLIP-3,8/01/2019,-9.081018,-75.714462,UCAYALI,PADRE ABAD,PADRE ABAD
SLIP-4,18/01/2019,-12.741,-73.969,AYACUCHO,LA MAR,AYNA
SLIP-5,3/02/2019,-16.438002,-73.117861,AREQUIPA,CAMANA,OCOÑA
SLIP-6,2/02/2019,-8.558782,-77.638564,ANCASH,SIHUAS,SIHUAS
SLIP-7,27/01/2019,-9.04801,-77.82912,ANCASH,HUAYLAS,CARAZ
SLIP-8,25/01/2019,-10.027068,-77.586494,ANCASH,RECUAY,TAPACOCHA
SLIP-9,23/01/2019,-9.35984,-78.152737,ANCASH,CASMA,BUENA VISTA ALTA
SLIP-10,23/01/2019,-9.038987,-77.810432,ANCASH,HUAYLAS,CARAZ
SLIP-11,18/01/2019,-12.740646,-73.969517,AYACUCHO,LA MAR,AYNA
SLIP-12,12/10/2018,-13.125226,-72.977781,CUSCO,LA CONVENCION,VILCABAMBA
SLIP-13,14/10/2018,-11.904169,-74.70952,JUNIN,HUANCAYO,SANTO DOMINGO DE ACOBAMBA
SLIP-14,25/01/2019,-9.778439,-77.592412,ANCASH,AIJA,AIJA
SLIP-15,29/01/2019,-17.647126,-69.944859,TACNA,TACNA,PACHIA
SLIP-16,5/02/2019,-16.453318,-71.59713,AREQUIPA,AREQUIPA,TIABAYA
SLIP-17,7/02/2019,-16.075715,-72.495486,AREQUIPA,CASTILLA,APLAO
SLIP-18,7/02/2019,-6.229376,-77.731462,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS
SLIP-19,25/02/2019,-16.385796,-70.859906,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS
SLIP-20,30/01/2019,-14.28998,-73.255352,APURIMAC,AYMARAES,CHALHUANCA
SLIP-21,3/02/2019,-6.579967,-76.26127,SAN MARTIN,SAN MARTIN,SHAPAJA
SLIP-22,1/02/2019,-8.681005,-77.555115,ANCASH,SIHUAS,SAN JUAN
SLIP-23,27/01/2019,-10.36392,-76.103088,HUANUCO,AMBO,SAN RAFAEL
SLIP-24,3/02/2019,-16.458962,-70.712791,MOQUEGUA,GENERAL SANCHEZ CERRO,CHOJATA
SLIP-25,29/01/2019,-8.33106,-77.978011,ANCASH,PALLASCA,HUANDOVAL
SLIP-26,22/01/2019,-12.618274,-73.806193,AYACUCHO,LA MAR,AYNA
SLIP-27,30/01/2019,-18.001822,-70.264967,TACNA,TACNA,ALTO DE LA ALIANZA
SLIP-28,8/02/2019,-14.35387,-73.461581,APURIMAC,ANDAHUAYLAS,PAMPACHIRI
SLIP-29,8/02/2019,-14.646912,-75.073256,ICA,NASCA,EL INGENIO
SLIP-30,9/02/2019,-10.067873,-76.211501,HUANUCO,AMBO,TOMAY KICHWA
SLIP-31,8/02/2019,-17.420229,-70.513064,TACNA,JORGE BASADRE,ILABAYA
SLIP-32,8/02/2019,-17.858334,-70.122186,TACNA,TACNA,PACHIA
SLIP-33,6/02/2019,-10.178775,-77.56069,ANCASH,RECUAY,LLACLLIN
SLIP-34,8/02/2019,-14.520578,-75.20208,ICA,PALPA,RIO GRANDE
SLIP-35,8/02/2019,-17.179269,-70.912543,MOQUEGUA,MARISCAL NIETO,MOQUEGUA
SLIP-36,8/02/2019,-14.139065,-75.575485,ICA,ICA,YAUCA DEL ROSARIO
SLIP-37,7/02/2019,-5.173456,-78.288795,AMAZONAS,BAGUA,IMAZA
SLIP-38,22/01/2019,-9.204473,-75.800367,HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES
SLIP-39,12/11/2018,-13.214687,-71.647029,CUSCO,PAUCARTAMBO,CHALLABAMBA
SLIP-40,25/11/2018,-5.420128,-79.080483,CAJAMARCA,JAEN,SAN JOSE DEL ALTO
SLIP-41,16/11/2018,-10.471523,-76.355479,PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI
SLIP-42,12/02/2019,-11.911897,-76.539076,LIMA,HUAROCHIRI,SANTA CRUZ DE COCACHACRA
SLIP-43,22/02/2018,-13.552848,-71.856868,CUSCO,CUSCO,SAN JERONIMO
SLIP-44,5/04/2018,-5.683899,-77.923447,AMAZONAS,BONGARA,YAMBRASBAMBA
SLIP-45,26/03/2018,-9.662533,-77.464109,ANCASH,HUARAZ,OLLEROS
SLIP-46,10/03/2018,-13.140401,-72.599035,CUSCO,LA CONVENCION,SANTA TERESA
SLIP-47,28/02/2018,-12.89794,-72.412524,CUSCO,LA CONVENCION,OCOBAMBA
SLIP-48,4/02/2018,-9.828909,-76.805334,HUANUCO,DOS DE MAYO,RIPAN
SLIP-49,7/02/2018,-13.015454,-73.975541,AYACUCHO,LA MAR,SAN MIGUEL
SLIP-50,15/02/2018,-11.688363,-76.86347,LIMA,CANTA,SANTA ROSA DE QUIVES
SLIP-51,6/02/2018,-6.254529,-77.700456,AMAZONAS,CHACHAPOYAS,CHETO
SLIP-52,25/12/2017,-10.820975,-75.123264,JUNIN,CHANCHAMAYO,PERENE
SLIP-53,20/12/2017,-14.302905,-73.227273,APURIMAC,AYMARAES,CHALHUANCA
SLIP-54,12/02/2019,-5.147003,-79.427893,PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA
SLIP-55,1/04/2017,-11.375131,-75.265605,JUNIN,JAUJA,MONOBAMBA
